air.are:M  1000 spec_cast_mage			A fairy dragon
antharia.are:M  1801 spec_cast_cleric        Suretin
antharia.are:M  1805 spec_cast_mage  Cyrtpea
antharia.are:M  1816 spec_cast_mage  elven rep.
antharia.are:M  1817 spec_cast_cleric        druid rep.
arachnos.are:M  6302 spec_breath_gas			Yevaud
arachnos.are:M  6314 spec_breath_gas			Arachnos
arachnos.are:M  6316 spec_breath_gas			the young dragon wormkin
arachnos.are:M  6317 spec_breath_gas			the medium dragon wormkin
arachnos.are:M  6318 spec_poison			the huge, poisonous spider
arachnos.are:M  6319 spec_poison			the Queen Spider
camelot.are:M  3312 spec_cast_mage          merlin
camelot.are:M  3313 spec_cast_mage          morgan Le fey
camelot.are:M  3315 spec_breath_lightning    questing beast
camelot.are:M  3336 spec_breath_fire         demon
canyon.are:M  9202 spec_cast_cleric	* cyclops
canyon.are:M  9204 spec_breath_any		* elemental guardian
canyon.are:M  9207 spec_breath_any		* large elemental
canyon.are:M  9208 spec_cast_cleric	* earth ruler
canyon.are:M  9209 spec_breath_fire	* fire ruler
canyon.are:M  9210 spec_breath_gas		* air ruler
canyon.are:M  9211 spec_breath_lightning	* lightning ruler
canyon.are:M  9212 spec_breath_acid	* water ruler
canyon.are:M  9219 spec_breath_acid	* acid blob
canyon.are:M  9223 spec_breath_lightning	* elemental particle
canyon.are:M  9226 spec_breath_fire	* the Blue Flame
canyon.are:M  9227 spec_breath_lightning	* the Magneto
canyon.are:M  9228 spec_breath_frost	* the Ice Bandit
canyon.are:M  9230 spec_breath_gas		* the Hurricane
canyon.are:M  9231 spec_cast_mage		* elemental magician
canyon.are:M  9232 spec_cast_cleric	* rainbow warrior
canyon.are:M  9233 spec_cast_mage		* the illusionist
canyon.are:M  9235 spec_breath_any		* baby rainbow dragon
canyon.are:M  9237 spec_breath_any		* HUGE elemental
canyon.are:M  9238 spec_cast_mage		* Elixir vendor
catacomb.are:M  2007 spec_cast_undead			a skeleton
catacomb.are:M  2009 spec_cast_undead			a mysterious wraith
catacomb.are:M  2011 spec_cast_mage			zombie
catacomb.are:M  2013 spec_cast_undead			The vampire
catacomb.are:M  2014 spec_cast_undead			the evil necromancer
catacomb.are:M  2016 spec_breath_any			the prism dragon
catacomb.are:M  2017 spec_poison			The DarkenBeast
chapel.are:M  3400 spec_cast_undead			the bony skeleton
chapel.are:M  3401 spec_cast_undead			the undead zombie
chapel.are:M  3402 spec_cast_undead			The ghoul
chapel.are:M  3403 spec_cast_undead			The wraith
chapel.are:M  3404 spec_cast_undead			The guardian vampire
chapel.are:M  3405 spec_cast_cleric			the priest
chapel.are:M  3407 spec_cast_undead			The nightgaunt
chapel.are:M  3408 spec_cast_undead			The hunting horror
chapel.are:M  3410 spec_cast_undead			Snapper Joe
chapel.are:M  3411 spec_cast_undead			The X-ist flesh eater
chapel.are:M  3412 spec_cast_mage			the spirit of King Crotus
chapel.are:M  3414 spec_cast_mage			The mad etcher
chapel.are:M  3415 spec_cast_undead			The spectral etcher's wife
chapel.are:M  3416 spec_cast_undead			The half-decomposed body
crystalm.are:M  10001 spec_cast_cleric       Goldmoon
crystalm.are:M  10008 spec_breath_gas      Turtle Dragon
daycare.are:M  6606 spec_cast_cleric			the nanny
draconia.are:M  2200 spec_breath_any			the dragon hatchling
draconia.are:M  2203 spec_cast_mage			a powerful mage
draconia.are:M  2204 spec_cast_cleric			the holy Draconian
draconia.are:M  2205 spec_breath_any			the Draconian King
draconia.are:M  2220 spec_breath_any			Tiamat
draconia.are:M  2221 spec_breath_fire			the Great Red Dragon
draconia.are:M  2222 spec_breath_acid			the Great Black Dragon
draconia.are:M  2223 spec_breath_frost			the Great White Dragon
draconia.are:M  2225 spec_breath_gas			the Ancient Green Dragon
draconia.are:M  2226 spec_poison			a large hydra
draconia.are:M  2240 spec_cast_undead			a Draconian zombie
draconia.are:M  2241 spec_breath_gas			the phase dragon
draconia.are:M  2243 spec_breath_any			the Draconian Queen
dread.are:M  550 spec_poison			a lesser shadow
dread.are:M  551 spec_poison			a shadow
dread.are:M  552 spec_breath_fire			a greater shadow
dread.are:M  553 spec_poison			a shadowguardian
dread.are:M  554 spec_breath_fire			a shadow lord
dread.are:M  555 spec_poison			a Dread minion
dread.are:M  556 spec_breath_fire			a greater Dread
dread.are:M  557 spec_poison			a lesser Dread
dread.are:M  558 spec_breath_fire			a Dread master
dread.are:M  559 spec_breath_fire			a Dread Lord
dread.are:M  560 spec_poison			a Dread guard
dread.are:M  561 spec_poison			a Dread guardian
dread.are:M  562 spec_breath_fire			a shadow dragon
dread.are:M  563 spec_breath_fire			a smoke dragon
drow.are:M  5103 spec_cast_mage			the drow mage noble
drow.are:M  5104 spec_cast_cleric			the drow priestess
drow.are:M  5108 spec_cast_cleric			the matron mother
drow.are:M  5109 spec_breath_any			the yochlol
dylan.are:M  9107 spec_cast_undead			the ugly, wicked witch
eastern.are:M  5005 spec_breath_any			the brass dragon
eastern.are:M  5010 spec_breath_fire			The dracolich
eastern.are:M  5014 spec_cast_cleric			The myconoid shaman
firenewt.are:M  2913 spec_cast_cleric	* fire newt priest
firenewt.are:M  2914 spec_breath_fire	* fire lizard
galaxy.are:M  9313 spec_breath_fire			the Head of Draco
galaxy.are:M  9314 spec_breath_fire			a baby draco
galaxy.are:M  9315 spec_cast_cleric			Aries
galaxy.are:M  9316 spec_cast_cleric			Taurus
galaxy.are:M  9317 spec_cast_cleric			Gemini
galaxy.are:M  9318 spec_cast_cleric			Gemini
galaxy.are:M  9319 spec_cast_cleric			Cancer
galaxy.are:M  9320 spec_cast_cleric			Leo
galaxy.are:M  9321 spec_cast_cleric			Virgo
galaxy.are:M  9322 spec_cast_cleric			Libra
galaxy.are:M  9323 spec_cast_cleric			Scorpio
galaxy.are:M  9324 spec_cast_cleric			Sagittarius
galaxy.are:M  9325 spec_cast_cleric			Capricorn
galaxy.are:M  9326 spec_cast_cleric			Aquarius
galaxy.are:M  9327 spec_cast_cleric			Pisces the mermaid
galaxy.are:M  9328 spec_cast_cleric			Pisces the fish
galaxy.are:M  9329 spec_cast_cleric			Ursa Major the bear
galaxy.are:M  9330 spec_cast_mage			Cassiopeia the Queen
galaxy.are:M  9331 spec_cast_mage			Cepheus the King
galaxy.are:M  9332 spec_breath_acid			Polaris, the polar star
gnome.are:M  1503 spec_cast_mage			a gnome scientist
gnome.are:M  1505 spec_cast_cleric			the chief gnome
gnome.are:M  1509 spec_poison			a rat
gnome.are:M  1510 spec_poison			a large rat
gnome.are:M  1511 spec_poison			a giant rat
gnome.are:M  1513 spec_breath_acid			a black bat
gnome.are:M  1514 spec_cast_undead			the zombie gnome
gnome.are:M  1515 spec_breath_fire			the fire bat
gnome.are:M  1519 spec_cast_mage			the king of the hobgoblins
grave.are:M  3601 spec_cast_undead			the rotting zombie
grave.are:M  3602 spec_cast_undead			the ghastly ghoul
grave.are:M  3603 spec_cast_undead			a dusty skeleton
grave.are:M  3604 spec_cast_undead			a dusty skeleton
grave.are:M  3605 spec_cast_undead			the rotting zombie
grove.are:M  8900 spec_cast_cleric			The Hierophant
grove.are:M  8901 spec_cast_cleric			The Hierophant
